,prop,subevent,role,causation,hp,metric,corr,pval,exp_count,method,td
278,1,0,0,1,mode_numeric,H@3,-0.1683190114373844,0.0077751380281348165,249,ULTRA,simple-triple
279,1,0,0,1,mode_numeric,H@10,-0.21053129955480276,0.0008289046128249726,249,ULTRA,simple-triple
338,1,1,0,0,ckpt_nb,H@3,0.42830762607504524,0.00416549602720086,43,ULTRA,simple-triple
352,1,1,0,0,batch_per_epoch,MRR,0.3582098879203098,0.018344712981512048,43,ULTRA,simple-triple
353,1,1,0,0,batch_per_epoch,H@1,0.309209644729075,0.043630893966070734,43,ULTRA,simple-triple
355,1,1,0,0,batch_per_epoch,H@10,0.5322987407707861,0.00023875652975897165,43,ULTRA,simple-triple
356,1,1,0,0,batch_size,MRR,0.44136741475237473,0.0030491878403092277,43,ULTRA,simple-triple
357,1,1,0,0,batch_size,H@1,0.44516502850503276,0.0027783681668083465,43,ULTRA,simple-triple
358,1,1,0,0,batch_size,H@3,0.4220485754033533,0.004816797428555611,43,ULTRA,simple-triple
359,1,1,0,0,batch_size,H@10,0.3746661767275169,0.013310261776457178,43,ULTRA,simple-triple
360,1,1,0,0,mode_numeric,MRR,-0.5527031637401418,0.00012143071401923479,43,ULTRA,simple-triple
361,1,1,0,0,mode_numeric,H@1,-0.5195040954918857,0.0003570642848576832,43,ULTRA,simple-triple
362,1,1,0,0,mode_numeric,H@3,-0.6106581911249316,1.3703211398108138e-05,43,ULTRA,simple-triple
363,1,1,0,0,mode_numeric,H@10,-0.4522951567305354,0.0023264966726486763,43,ULTRA,simple-triple
364,1,1,0,1,ckpt_nb,MRR,0.34494672187229836,6.246674126446102e-05,129,ULTRA,simple-triple
365,1,1,0,1,ckpt_nb,H@1,0.3624235966819334,2.4356030031119967e-05,129,ULTRA,simple-triple
366,1,1,0,1,ckpt_nb,H@3,0.4116599443368468,1.2552346432013968e-06,129,ULTRA,simple-triple
367,1,1,0,1,ckpt_nb,H@10,0.3387312219831408,8.61809235942276e-05,129,ULTRA,simple-triple
376,1,1,0,1,train_num_epoch,MRR,0.2863423137177004,0.0010028217839699587,129,ULTRA,simple-triple
377,1,1,0,1,train_num_epoch,H@1,0.2634187996005031,0.0025596465408566998,129,ULTRA,simple-triple
384,1,1,0,1,batch_size,MRR,0.312151515094943,0.000316668752077891,129,ULTRA,simple-triple
385,1,1,0,1,batch_size,H@1,0.2897576375417258,0.0008661750656757663,129,ULTRA,simple-triple
386,1,1,0,1,batch_size,H@3,0.20063934759955546,0.02261483585818124,129,ULTRA,simple-triple
388,1,1,0,1,mode_numeric,MRR,-0.3620315110666605,2.4891318971631144e-05,129,ULTRA,simple-triple
389,1,1,0,1,mode_numeric,H@1,-0.31910680373914707,0.0002278725043947634,129,ULTRA,simple-triple
390,1,1,0,1,mode_numeric,H@3,-0.34672572007445995,5.689861100986199e-05,129,ULTRA,simple-triple
395,1,1,1,0,ckpt_nb,H@10,0.956182887467515,0.002837845926734439,6,ULTRA,simple-triple
422,1,1,1,1,ckpt_nb,H@3,0.956182887467515,0.002837845926734439,6,ULTRA,simple-triple
423,1,1,1,1,ckpt_nb,H@10,0.956182887467515,0.002837845926734439,6,ULTRA,simple-triple
